,text,lacking_dem_pref
15,Just arrived at the Pensacola Bay Center. Join me LIVE on @FoxNews in 10 minutes! #MAGA https://t.co/RQFqOkcpNV,0.0
16,"On my way to Pensacola, Florida. See everyone soon! #MAGA https://t.co/ijwxVSYQ52",0.0
17,"“The unemployment rate remains at a 17-year low of 4.1%. The unemployment rate in manufacturing dropped to 2.6%, th… https://t.co/ujuFLRG8lc",0.0
18,MAKE AMERICA GREAT AGAIN! https://t.co/64a93S07s7,0.0
19,Fines and penalties against Wells Fargo Bank for their bad acts against their customers and others will not be drop… https://t.co/Eg8RsLwJfA,0.0
20,LAST thing the Make America Great Again Agenda needs is a Liberal Democrat in Senate where we have so little margin… https://t.co/HaMncvh3Nc,0.0
21,"Big crowd expected today in Pensacola, Florida, for a Make America Great Again speech. We have done so much in so s… https://t.co/m4BiON3oo8",0.0
22,I fulfilled my campaign promise - others didn’t! https://t.co/bYdaOHmPVJ,0.0
23,"Tonight, @FLOTUS Melania and I were thrilled to welcome so many wonderful friends to the @WhiteHouse – and wish the… https://t.co/NlHEGuiWCF",0.0
24,"Across the battlefields, oceans, and harrowing skies of Europe and the Pacific throughout the war, one great battle… https://t.co/XelKHx4Ibo",0.0
25,"Today, as we Remember Pearl Harbor, it was an incredible honor to be joined with surviving Veterans of the attack o… https://t.co/c4ZYnXSAuj",0.0
26,"Today, the U.S. flag flies at half-staff at the @WhiteHouse, in honor of National Pearl Harbor Remembrance Day.… https://t.co/561NBdqSsb",0.0
27,"Today, our entire nation pauses to REMEMBER PEARL HARBOR—and the brave warriors who on that day stood tall and foug… https://t.co/xGiAt5hdnu",0.0
28,"National Pearl Harbor Remembrance Day - “A day that will live in infamy!” December 7, 1941",0.0
29,Go get the new book on Andrew Jackson by Brian Kilmeade...Really good. @foxandfriends,0.0
30,RT @EricTrump: #MakeAmericaGreatAgain https://t.co/YpfVHtq8tE,0.0
31,RT @ChuckGrassley: Jerusalem Embassy Act of ‘95 (Senate vote 93-5 &amp,0.0
32,I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing t… https://t.co/yG26qYMx0L,0.0
33,"Join me live from the @WhiteHouse via #Periscope
https://t.co/wLXKoISSTG",0.0
34,Our thoughts and prayers are with everyone in the path of California’s wildfires. I encourage everyone to heed the… https://t.co/CO5bDgsj2t,0.0
35,MAKE AMERICA GREAT AGAIN!,0.0
36,"RT @Scavino45: Time lapse video of the border wall prototypes, when they were being built in San Diego. Next phase underway: testing and ev…",0.0
37,"Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/QzFdxQdgAL",0.0
38,"Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to… https://t.co/n4SbeI1JG7",0.0
39,A must watch: Legal Scholar Alan Dershowitz was just on @foxandfriends talking of what is going on with respect to… https://t.co/EZ7cdgtUUo,0.0
40,"With the great vote on Cutting Taxes, this could be a big day for the Stock Market - and YOU!",0.0
41,Putting Pelosi/Schumer Liberal Puppet Jones into office in Alabama would hurt our great Republican Agenda of low on… https://t.co/XBhLWc1Y4C,1.0
42,Democrats refusal to give even one vote for massive Tax Cuts is why we need Republican Roy Moore to win in Alabama.… https://t.co/cTTqHa3YXL,0.0
43,Report: “ANTI-TRUMP FBI AGENT LED CLINTON EMAIL PROBE”  Now it all starts to make sense!,1.0
44,People who lost money when the Stock Market went down 350 points based on the False and Dishonest reporting of Bria… https://t.co/4MT8wja1pn,0.0
45,"After years of Comey, with the phony and dishonest Clinton investigation (and more), running the FBI, its reputatio… https://t.co/gdbdgXZ57e",1.0
46,"Tainted (no, very dishonest?) FBI “agent’s role in Clinton probe under review.” Led Clinton Email probe.… https://t.co/gpveJGRATD",1.0
47,Such a total miscarriage of Justice in San Francisco! https://t.co/MSIkBCKF3t,1.0
48,RT @paulsperry_: Wray needs to clean house. Now we know the politicization even worse than McCabe's ties to McAuliffe/Clinton. It also infe…,1.0
49,RT @paulsperry_: BREAKING: top FBI investigator for Mueller--PETER STRZOK--busted sending political text messages bashing Trump &amp,0.0
50,RT @GovChristie: .@POTUS has done more to combat the addiction crisis than any other President. https://t.co/EfjJVrE29G,0.0
51,"RT @PressSec: The Trump effect: “The U.S. economy is running at its full potential for the first time in a decade” -WSJ
https://t.co/ee5N0z…",0.0
52,I never asked Comey to stop investigating Flynn. Just more Fake News covering another Comey lie!,0.0
53,Congratulations to @ABC News for suspending Brian Ross for his horrendously inaccurate and dishonest report on the… https://t.co/wEVP4iGN6n,0.0
54,Many people in our Country are asking what the “Justice” Department is going to do about the fact that totally Croo… https://t.co/saIhU8YIrL,0.0
55,"So General Flynn lies to the FBI and his life is destroyed, while Crooked Hillary Clinton, on that now famous FBI h… https://t.co/OPFBHVaU1Z",0.0
56,Great job First Lady Melania! https://t.co/TRuvaftPcD,0.0
57,"62 years ago this week, a brave seamstress in Montgomery, Alabama uttered one word that changed history... https://t.co/eOvCBcMIKX",0.0
58,I had to fire General Flynn because he lied to the Vice President and the FBI. He has pled guilty to those lies. It… https://t.co/8bMCLGuAhf,0.0
59,Biggest Tax Bill and Tax Cuts in history just passed in the Senate. Now these great Republicans will be going for f… https://t.co/5hPQSNDZV3,0.0
60,We are one step closer to delivering MASSIVE tax cuts for working families across America. Special thanks to… https://t.co/L07UncQMZS,0.0
61,"Economists on the TAX CUTS and JOBS ACT:

“The enactment of a comprehensive overhaul - complete with a lower corpor… https://t.co/G7c2uDgMG5",0.0
62,The media has been speculating that I fired Rex Tillerson or that he would be leaving soon - FAKE NEWS! He’s not le… https://t.co/tYYnq58Zmk,1.0
63,RT @WhiteHouse: President Trump proclaims today as #WorldAIDSDay: https://t.co/AMqW8mWiak https://t.co/XGp8EelNzz,0.0
64,Republicans Senators are working hard to pass the biggest Tax Cuts in the history of our Country. The Bill is getti… https://t.co/GTBHcuUggn,0.0
65,The jury was not told the killer of Kate was a 7 time felon. The Schumer/Pelosi Democrats are so weak on Crime that… https://t.co/s5uFDixZoH,1.0
66,"The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and bei… https://t.co/5EjQfmTqYg",1.0
67,A disgraceful verdict in the Kate Steinle case! No wonder the people of our Country are so angry with Illegal Immigration.,0.0
68,"The Christmas Story begins 2,000 years ago with a mother, a father, their baby son and the most extraordinary gift… https://t.co/SZLUM1jD27",0.0
69,Today is a day that I’ve been looking very much forward to ALL YEAR LONG. It is one that you have heard me speak ab… https://t.co/OmcorwQCkR,0.0
70,"Our FIFTH 1K milestone of 2017!
#DOW24K #MAGA https://t.co/NoVt1uFp0y",0.0
71,"Today, it was my great honor to meet with the Crown Prince of Bahrain at the @WhiteHouse. Bahrain and the United St… https://t.co/xShHfc3Yxo",0.0
72,Thank you @SenOrrinHatch. Let’s continue MAKING AMERICA GREAT AGAIN! https://t.co/PIv9OAVZcf https://t.co/6egRvuwj1l,0.0
73,"The Dow just broke 24,000 for the first time (another all-time Record). If the Dems had won the Presidential Electi… https://t.co/A5LJPneB9D",0.0
74,Stock Market hits new Record High. Confidence and enthusiasm abound. More great numbers coming out!,0.0
75,"The Chinese Envoy, who just returned from North Korea, seems to have had no impact on Little Rocket Man. Hard to be… https://t.co/ZySsGTqQHp",0.0
76,The Failing @nytimes has totally gone against the Social Media Guidelines that they installed to preserve some cred… https://t.co/cWMMAc5jUq,0.0
77,"The Failing @nytimes, the pipe organ for the Democrat Party, has become a virtual lobbyist for them with regard to… https://t.co/Dcr4Tge2Wb",1.0
78,Funny to hear the Democrats talking about the National Debt when President Obama doubled it in only 8 years!,0.0
79,"“Had the information (Crooked Hillary’s emails) been released there would have been harm to National Security....""… https://t.co/uYZYvT8xIo",0.0
80,The only people who don’t like the Tax Cut Bill are the people that don’t understand it or the Obstructionist Democ… https://t.co/Kr5HJ8OLCQ,0.0
81,The House of Representatives seeks contempt citations(?) against the JusticeDepartment and the FBI for withholding… https://t.co/KrYQGAlt2h,0.0
82,".@Theresa_May, don’t focus on me, focus on the destructive Radical Islamic Terrorism that is taking place within th… https://t.co/d5BTTYaALh",0.0
83,"Now, we have a once in a lifetime opportunity to RESTORE AMERICAN PROSPERITY – and RECLAIM AMERICA’S DESTINY.

But… https://t.co/HNvPxZHEIz",0.0
84,"A vote to CUT TAXES is a vote to PUT AMERICA FIRST. It is time to take care of OUR WORKERS, to protect OUR COMMUNIT… https://t.co/WerIo83AE6",0.0
85,"This week, the Senate can join the House &amp; take a strong stand for the Middle Class families who are the backbone o… https://t.co/ILfhlLOkSE",0.0
86,"Departing @JBA_NAFW for St. Charles, Missouri to help push our plan for HISTORIC TAX CUTS across the finish line.… https://t.co/A9I7mvnhUD",0.0
87,"Economy growing! Excluding hurricane effects, CEA estimates that real GDP growth would have been 3.9% in Q3.

Stock… https://t.co/ceei9Ux8MO",0.0
88,Just spoke to President XI JINPING of China concerning the provocative actions of North Korea. Additional major san… https://t.co/h6Gq5vdcso,0.0
89,So now that Matt Lauer is gone when will the Fake News practitioners at NBC be terminating the contract of Phil Gri… https://t.co/6vWDKTgCQG,1.0
90,"Wow, Matt Lauer was just fired from NBC for “inappropriate sexual behavior in the workplace.” But when will the top… https://t.co/xvaYsbO0le",0.0
91,Looks like another great day for the Stock Market. Consumer Confidence is at Record High. I guess somebody likes me (my policies)!,0.0
92,"Great, and we should boycott Fake News CNN. Dealing with them is a total waste of time! https://t.co/8zJ3j7g5el",1.0
93,RT @JaydaBF: VIDEO: Islamist mob pushes teenage boy off roof and beats him to death! https://t.co/XxtlxNNSiP,0.0
94,RT @JaydaBF: VIDEO: Muslim Destroys a Statue of Virgin Mary! https://t.co/qhkrfQrtjV,0.0
95,RT @JaydaBF: VIDEO: Muslim migrant beats up Dutch boy on crutches! https://t.co/11LgbfFJDq,0.0
96,".@foxandfriends, we are in record territory in all things having to do with our economy! https://t.co/VB0Ao3s18d",0.0
97,RT @EricTrump: #MakeAmericaGreatAgain https://t.co/Q7AiR0buM2,0.0
98,Great day for Tax Cuts and the Republican Party. But the biggest Winner will be our great Country!,0.0
99,Great work Ivanka! https://t.co/AQL4JLvnDh,0.0
100,"Just won the lawsuit on leadership of Consumer Financial Protection Bureau, CFPB. A big win for the Consumer!",0.0
101,"Charles McCullough, the respected fmr Intel Comm Inspector General, said public was misled on Crooked Hillary Email… https://t.co/P7nyHXxJ3R",0.0
102,"After North Korea missile launch, it's more important than ever to fund our gov't &amp; military! Dems shouldn't hold t… https://t.co/lhXvhHiLES",0.0
103,"RT @narendramodi: Had a wonderful meeting with @IvankaTrump, advisor to @POTUS and leader of the US delegation at the @GES2017. https://t.c…",0.0
104,“The Conference Board said that consumer sentiment was at its highest level in nearly 17 years in November. The Con… https://t.co/rAvKNXi52A,0.0
105,"Dow, S&amp;P 500 and Nasdaq all finished the day at new RECORD HIGHS! https://t.co/wJyB9d00hh",0.0
106,"Remarks from the Roosevelt Room with @SenateMajLdr Mitch McConnell, @SpeakerRyan and Secretary of Defense, General… https://t.co/atei0EsluG",0.0
107,“Statement from President Donald J. Trump on #GivingTuesday” https://t.co/NrfnmixAwR,0.0
108,RT @IvankaTrump: It was an honor to meet with you Prime Minister Modi. Thank you for co-hosting the 8th annual Global Entrepreneurship Summ…,0.0
109,Meeting with “Chuck and Nancy” today about keeping government open and working. Problem is they want illegal immigr… https://t.co/jq3DYver4Q,0.0
110,"RT @IvankaTrump: Thank you for the warm welcome. I’m excited to be in Hyderabad, India for #GES2017. https://t.co/1U08h5L9Rm",0.0
111,RT @FLOTUS: The decorations are up! @WhiteHouse is ready to celebrate! Wishing you a Merry Christmas &amp,0.0
112,RT @statedeptspox: #GES2017 highlights the important role of women #entrepreneurs &amp,0.0
113,RT @FLOTUS: Had a wonderful visit from @JBA_NAFW children today at the @whitehouse! #WhiteHouseChristmas https://t.co/Hnw758zHzL,0.0
114,"Melania, our great and very hard working First Lady, who truly loves what she is doing, always thought that “if you… https://t.co/nW7uPnX48l",0.0
115,At least 24 players kneeling this weekend at NFL stadiums that are now having a very hard time filling up. The Amer… https://t.co/n0YsDlZQ0C,0.0
116,Thank you Rand! https://t.co/NvPeleVmub,0.0
117,New home sales reach a 10 year high. Stock Market has more record gains. Hopefully Republican Senators will give us… https://t.co/DrEJ6caWjM,0.0
118,"The Tax Cut Bill is coming along very well, great support. With just a few changes, some mathematical, the middle c… https://t.co/P1gGkHVyxy",0.0
119,"The good news is that their ratings are terrible, nobody cares! https://t.co/I7h4Ryin3h",0.0
120,"We should have a contest as to which of the Networks, plus CNN and not including Fox, is the most dishonest, corrup… https://t.co/3f2NxPueRO",1.0
121,"Back in D.C., big week for Tax Cuts and many other things of great importance to our Country.  Senate Republicans w… https://t.co/T9L8Z9CtyW",0.0
122,"Since the first day I took office, all you hear is the phony Democrat excuse for losing the election, Russia, Russi… https://t.co/oZnstJiYYT",1.0
123,I endorsed Luther Strange in the Alabama Primary. He shot way up in the polls but it wasn’t enough. Can’t let Schum… https://t.co/wT9pRKnk9Y,0.0
124,"The last thing we need in Alabama and the U.S. Senate is a Schumer/Pelosi puppet who is WEAK on Crime, WEAK on the… https://t.co/H01kbYd7Rp",0.0
125,"Wow, even I didn’t realize we did so much. Wish the Fake News would report! Thank you. https://t.co/ApVbu2b0Jd",1.0
126,".@FoxNews is MUCH more important in the United States than CNN, but outside of the U.S., CNN International is still… https://t.co/qzwpwVN2ep",0.0
127,Check out the recent Editorial in the Wall Street Journal @WSJ about what a complete disaster the @CFPB has been un… https://t.co/tsg4wGBN0D,0.0
128,"The Consumer Financial Protection Bureau, or CFPB, has been a total disaster as run by the previous Administrations… https://t.co/PZOjFdB5H8",0.0
129,"Happy #SmallBusinessSaturday!

A great day to support your community and America’s JOB creators by shopping locally… https://t.co/a0fME8HRXT",0.0
130,"Time Magazine called to say that I was PROBABLY going to be named “Man (Person) of the Year,” like last year, but I… https://t.co/yFDS5Pz9yB",0.0
131,"Will be calling the President of Egypt in a short while to discuss the tragic terrorist attack, with so much loss o… https://t.co/dG2jNyaok9",0.0
132,Horrible and cowardly terrorist attack on innocent and defenseless worshipers in Egypt. The world cannot tolerate t… https://t.co/73hMjYKjMI,0.0
133,"After Turkey call I will be heading over to Trump National Golf Club, Jupiter, to play golf (quickly) with Tiger Wo… https://t.co/QIHCtDSqgV",0.0
134,Will be speaking to President Recep Tayyip Erdogan of Turkey this morning about bringing peace to the mess that I i… https://t.co/1PLdvtd5rj,0.0
135,"Can you believe that the disrespect for our Country, our Flag, our Anthem continues without penalty to the players.… https://t.co/4hdK4d7KC7",1.0
136,Two great people! https://t.co/5cVnMhnmuH,0.0
137,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,0.0
138,RT @DeptofDefense: #HappyThanksgiving from @USArmy and @USNationalGuard #soldiers serving with Task Force Marauder in #Afghanistan. 🦃 https…,0.0
139,"RT @Scavino45: Today, @POTUS @realDonaldTrump and @FLOTUS Melania visit the @USCG at the Lake Worth Inlet Station, in Riviera Beach, Florid…",0.0
140,"ObamaCare premiums are going up, up, up, just as I have been predicting for two years. ObamaCare is OWNED by the De… https://t.co/CfvGYklDsE",0.0
141,"My great honor to join our incredible men and women of the @USCG, at the Lake Worth Inlet Station, in Riviera Beach… https://t.co/x3XZJA9DiF",0.0
142,HAPPY THANKSGIVING! https://t.co/nQhi7XopMW,0.0
143,"Will be doing a live Thanksgiving Video Teleconference with Members of the Military at 9:00 A.M.  Afghanistan, Iraq… https://t.co/1PfyK6f4DK",0.0
144,MAKE AMERICA GREAT AGAIN!,0.0
145,@ThePlumLineGS MAKE AMERICA GREAT AGAIN!,0.0
146,"HAPPY THANKSGIVING, your Country is starting to do really well. Jobs coming back, highest Stock Market EVER, Milita… https://t.co/JmdSe29W8E",0.0
147,....And it will get even better with Tax Cuts! https://t.co/75wozGJQoP,0.0
148,I have long given the order to help Argentina with the Search and Rescue mission of their missing submarine. 45 peo… https://t.co/zl3PZApiTt,0.0
149,51 Million American to travel this weekend - highest number in twelve years (AAA). Traffic and airports are running very smoothly!  @FoxNews,0.0
150,RT @FLOTUS: Preparations are underway to celebrate the holidays at the @WhiteHouse! https://t.co/N5qZ1NP8ez,0.0
151,The @USNavy is conducting search and rescue following aircraft crash. We are monitoring the situation. Prayers for… https://t.co/CX0C8dU4h7,0.0
152,Will be having meetings and working the phones from the Winter White House in Florida (Mar-a-Lago). Stock Market hi… https://t.co/nfmwwXtyRy,0.0
153,"RT @IngrahamAngle: “Far right”? You mean “right so far,” as in @realDonaldTrump has been right so far abt how to kick the economy into high…",0.0
154,"RT @Realjmannarino: @realDonaldTrump The ungratefulness is something I’ve never seen before. If you get someone’s son out of prison, he sho…",0.0
155,The NFL is now thinking about a new idea - keeping teams in the Locker Room during the National Anthem next season.… https://t.co/tqZuHcaCyG,0.0
156,"...LaVar, you could have spent the next 5 to 10 years during Thanksgiving with your son in China, but no NBA contra… https://t.co/R7yb95fkUw",0.0
157,"It wasn’t the White House, it wasn’t the State Department, it wasn’t father LaVar’s so-called people on the ground… https://t.co/U895bwpOnK",0.0
158,"Today, we continued a wonderful American Tradition at the White House. Drumstick and Wishbone will live out their d… https://t.co/kATC8YVCyz",0.0
159,President Donald J. Trump and @FLOTUS Melania Participate in the Pardoning of the National Thanksgiving Turkey at t… https://t.co/QkuaKB68Dp,0.0
160,Under President Trump unemployment rate will drop below 4%.  Analysts predict economic boom for 2018!  @foxandfriends and @Varneyco,0.0
161,Marshawn Lynch of the NFL’s Oakland Raiders stands for the Mexican Anthem and sits down to boos for our National An… https://t.co/5P18NSv8ZW,0.0
162,Republican Senators are working very hard to get Tax Cuts and Tax Reform approved. Hopefully it will not be long an… https://t.co/m0GyFBDPkQ,0.0
163,"Border Patrol Officer killed at Southern Border, another badly hurt. We will seek out and bring to justice those re… https://t.co/rgYCrqyrR9",0.0
164,Big-game trophy decision will be announced next week but will be very hard pressed to change my mind that this horr… https://t.co/HgHgIVikj3,0.0
165,"Shoplifting is a very big deal in China, as it should be (5-10 years in jail), but not to father LaVar. Should have… https://t.co/TyDMChjEIM",0.0
166,"Sen. Jeff Flake(y), who is unelectable in the Great State of Arizona (quit race, anemic polls) was caught (purposel… https://t.co/ch8x9i4qN7",0.0
167,"Now that the three basketball players are out of China and saved from years in jail, LaVar Ball, the father of LiAn… https://t.co/371qJ1biwh",0.0
168,RT @greta: Thank you @realDonaldTrump - this is important to so many of us https://t.co/zJAfZByQKX,0.0
169,"RT @piersmorgan: BOOM! Thank you, Mr President. Trophy-hunting is repellent. https://t.co/iEPfEQNX4t",0.0
170,"Crooked Hillary Clinton is the worst (and biggest) loser of all time. She just can’t stop, which is so good for the… https://t.co/dsLJX3x1M3",0.0
171,Put big game trophy decision on hold until such time as I review all conservation facts. Under study for years. Wil… https://t.co/HalVQryMu4,0.0
172,"Today, it was an honor to celebrate the Collegiate National Champions of 2016/2017 at the @WhiteHouse!… https://t.co/EDZ5NjVfgq",0.0
173,"Together, we're going to restore safety to our streets and peace to our communities, and we're going to destroy the… https://t.co/hAY44qICh6",0.0
174,"If Democrats were not such obstructionists and understood the power of lower taxes, we would be able to get many of their ideas into Bill!",0.0
175,"Great numbers on Stocks and the Economy. If we get Tax Cuts and Reform, we'll really see some great results!",0.0
176,.And to think that just last week he was lecturing anyone who would listen about sexual harassment and respect for women. Lesley Stahl tape?,0.0
177,"The Al Frankenstien picture is really bad, speaks a thousand words. Where do his hands go in pictures 2, 3, 4, 5 &amp; 6 while she sleeps? .....",0.0
178,"Big win today in the House for GOP Tax Cuts and Reform, 227-205. Zero Dems, they want to raise taxes much higher, but not for our military!",0.0
179,Congratulations to the House of Representatives for passing the #TaxCutsandJobsAct — a big step toward fulfilling o… https://t.co/gkn9aZ40Yf,0.0
180,Need all on the UN Security Council to vote to renew the Joint Investigative Mechanism for Syria to ensure that Ass… https://t.co/1fnmbOdhQR,0.0
181,"China is sending an Envoy and Delegation to North Korea - A big move, we'll see what happens!",0.0
182,"....your release possible and, HAVE A GREAT LIFE! Be careful, there are many pitfalls on the long and winding road of life!",0.0
183,"To the three UCLA basketball players I say:  You're welcome, go out and give a big Thank You to President Xi Jinping of China who made.....",0.0
184,Big vote tomorrow in the House. Tax cuts are getting close!,0.0
185,Why are Democrats fighting massive tax cuts for the middle class and business (jobs)? The reason: Obstruction and Delay!,0.0
186,It is actually hard to believe how naive (or dumb) the Failing @nytimes is when it comes to foreign policy...weak and ineffective!,1.0
187,"...They should realize that these relationships are a good thing, not a bad thing. The U.S. is being respected again. Watch Trade!",0.0
188,"The failing @nytimes hates the fact that I have developed a great relationship with World leaders like Xi Jinping, President of China.....",0.0
189,Do you think the three UCLA Basketball Players will say thank you President Trump? They were headed for 10 years in jail!,0.0
190,Thank you! https://t.co/EQMwv1XbiM,0.0
191,"Thank you, working hard! https://t.co/TmNdNPBJ3m",0.0
192,"While in the Philippines I was forced to watch @CNN, which I have not done in months, and again realized how bad, and FAKE, it is. Loser!",1.0
193,".@foxandfriends will be showing much of our successful trip to Asia, and the friendships &amp; benefits that will endure for years to come!",0.0
194,Our great country is respected again in Asia. You will see the fruits of our long but successful trip for many years to come!,0.0
195,"RT @Scavino45: 20,295 miles later #POTUSinAsia has successfully concluded as @POTUS @realDonaldTrump lands on the South Lawn of @WhiteHouse…",0.0
196,"RT @realDonaldTrump: Unemployment is down to 4.1%, lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Mark…",0.0
197,"RT @PChowka: Sean Hannity's Big Week - Top Ratings, Probing Reporting, and Let There Be Light at American Thinker https://t.co/b0RxpZd3Lb h…",0.0
198,"RT @realDonaldTrump: Thank you to our GREAT Military/Veterans and @PacificCommand.

Remember #PearlHarbor. Remember the @USSArizona!

A day…",0.0
199,Just returned from Asia after 12 very successful days. Great to be home!,0.0
200,THANK YOU ASIA! #USA🇺🇸 https://t.co/FziKSbrzcu,0.0
201,THANK YOU to the amazing staff and their families of the United States Embassy in the Philippines. Keep up the GREA… https://t.co/qL8BBq3GOs,0.0
202,One of the most accurate polls last time around. But #FakeNews likes to say we’re in the 30’s. They are wrong. Some… https://t.co/1zCve1fACN,1.0
203,I will be making a major statement from the @WhiteHouse upon my return to D.C. Time and date to be set.,0.0
204,"Just arrived at #ASEAN50 in the Philippines for my final stop with World Leaders. Will lead to FAIR TRADE DEALS, un… https://t.co/ExRBdQnJru",0.0
205,"After my tour of Asia, all Countries dealing with us on TRADE know that the rules have changed. The United States h… https://t.co/MoMNa1MUI3",0.0
206,Great to see @RandPaul looking well and back on the Senate floor. He will help us with TAX CUTS and REFORM!,0.0
207,"Excited to be heading home to see the House pass a GREAT Tax Bill with the middle class getting big TAX CUTS!

#MakeAmericaGreatAgain🇺🇸",0.0
208,"I am proud of the Rep. House &amp; Senate for working so hard on cutting taxes {&amp; reform.} We’re getting close! Now, ho… https://t.co/bPmeYwoMhU",0.0
209,"Happy to announce, I am nominating Alex Azar to be the next HHS Secretary. He will be a star for better healthcare and lower drug prices!",0.0
210,Will be leaving the Philippines tomorrow after many days of constant mtgs &amp,0.0
211,"Great day of bilateral meetings at #ASEANSummit on trade, which we are turning around to be great deals for our cou… https://t.co/n7g7Zvo9pl",0.0
212,Thank you! https://t.co/TD0rYcWN8C,0.0
213,"We had a wonderful visit to Vietnam, thank you President Tran Dai Quang! Heading to the #ASEANSummit 50th Anniv Gal… https://t.co/s5gIKMqt50",0.0
214,"Just landed in the Philippines after a great day of meetings and events in Hanoi, Vietnam! https://t.co/YxHRNhhPWo",0.0
215,"Why would Kim Jong-un insult me by calling me ""old,"" when I would NEVER call him ""short and fat?"" Oh well, I try so… https://t.co/PmsWNkH4r4",0.0
216,"Does the Fake News Media remember when Crooked Hillary Clinton, as Secretary of State, was begging Russia to be our… https://t.co/0QnLU03c03",1.0
217,"When will all the haters and fools out there realize that having a good relationship with Russia is a good thing, n… https://t.co/tPCd8nSwY3",1.0
218,Met with President Putin of Russia who was at #APEC meetings. Good discussions on Syria. Hope for his help to solve… https://t.co/eOt8rDcpeY,0.0
219,"Will be doing a joint press conference in Hanoi, Vietnam then heading for final destination of trip, the Phillipines.",0.0
220,President Xi of China has stated that he is upping the sanctions against #NoKo. Said he wants them to denuclearize. Progress is being made.,0.0
221,"“Presidential Proclamation Commemorating the 50th Anniversary of the Vietnam War” 
➡️https://t.co/hgUQP9leqK 
➡️… https://t.co/xZ8AWnxDEA",0.0
222,"On this wonderful Veterans Day, I want to express the incredible gratitude of the entire American Nation to our GRE… https://t.co/MhHOaVTAWC",0.0
223,"On behalf of an entire nation, Happy 242nd Birthday to the men and women of the United States Marines!
#USMC242… https://t.co/EDmzIuB09r",0.0
224,The United States has been reminded time and again in recent years that economic security is not merely RELATED to… https://t.co/62WsIAen7F,0.0
225,The United States is prepared to work with each of the leaders in this room today to achieve mutually beneficial co… https://t.co/6hY41gFM5i,0.0
226,Today I am here to offer a renewed partnership with America -- to work together to strengthen the bonds of friendsh… https://t.co/2IdSIlE3Ek,0.0
227,"In more and more places throughout this region, citizens of SOVEREIGN and INDEPENDENT nations have taken greater co… https://t.co/RoZxYEdh9m",0.0
228,"Throughout my travels, I've had the pleasure of sharing the good news from America. I've had the honor of sharing o… https://t.co/eGkJAZaPuU",0.0
229,"Just landed in Da Nang, Vietnam to deliver a speech at #APEC2017",0.0
230,"I am leaving China for #APEC2017 in Vietnam. @FLOTUS Melania is staying behind to see the zoo, and of course, the G… https://t.co/j2kDjWvnsj",0.0
231,My meetings with President Xi Jinping were very productive on both trade and the subject of North Korea. He is a hi… https://t.co/WqDuLr1nyF,0.0
232,"I don’t blame China, I blame the incompetence of past Admins for allowing China to take advantage of the U.S. on tr… https://t.co/zql9WFEZlF",0.0
233,In the coming months and years ahead I look forward to building an even STRONGER relationship between the United St… https://t.co/kHCeQSQDtk,0.0
